,titulo,categoria_prevista,categoria_original
80,"['uso', 'dinheiro', 'vivo', 'sustentou', 'campanhas', 'eleitorais', 'família', 'bolsonaro']",Eleicoes,Politica Nacional
31,"['posse', 'fux', 'elogia', 'lava', 'jato', 'diz', 'stf', 'subserviente', 'outros', 'poderes']",Lava Jato,Judiciario
12,"['partidos', 'centrão', 'apoiam', 'bolsonaro', 'crescer', 'nordeste']",Politica Nacional,Eleicoes
15,"['pressionada', 'justiça', 'eleitoral', 'ouve', 'escalada', 'cobranças', 'age', 'diversidade']",Eleicoes,Eleicoes
69,"['governador', 'empurrado', 'impeachment', 'sc', 'bolsonaristas', 'próprio', 'partido']",Casos corrupcao,Politica Regional
8,"['executivo', 'ausente', 'congresso', 'dá', 'prioridade', 'área', 'social', 'legislar', 'pandemia']",Eleicoes,Politica Nacional
132,"['onda', 'bolsonarista', 'republicanos', 'psl', 'viram', 'campeões', 'candidatos', 'vereador', 'grandes', 'cidades']",Eleicoes,Eleicoes
109,"['exadvogado', 'bolsonaros', 'wassef', 'vira', 'réu', 'sob', 'acusação', 'peculato', 'lavagem', 'dinheiro']",Eleicoes,Casos corrupcao
23,"['partidos', 'admitem', 'uso', 'candidatas', 'laranjas', 'tentam', 'blindar', 'eleições']",Eleicoes,Eleicoes
111,"['contra', 'vidraças', 'russomanno', 'adota', 'estratégia', 'assumir', 'erros', 'vídeos', 'life']",Eleicoes,Eleicoes
17,"['disputa', 'recursos', 'ações', 'acirra', 'embate', 'militares', 'civis', 'governo', 'bolsonaro']",Eleicoes,Politica Nacional
91,"['entidades', 'afro', 'especialistas', 'defendem', 'mecanismos', 'fiscalização', 'autodeclaração', 'cor']",Eleicoes,Outros
66,"['apesar', 'promessa', 'ficar', 'eleição', 'bolsonaro', 'faz', 'dobradinha', 'russomanno', 'rede', 'social']",Eleicoes,Eleicoes
90,"['lava', 'jato', 'denuncia', 'wassef', 'exadvogado', 'bolsonaros', 'sob', 'acusação', 'lavagem', 'dinheiro']",Casos corrupcao,Casos corrupcao
78,"['tv', 'candidatos', 'jaboticabal', 'apostam', 'live', 'horário', 'eleitoral', 'rádio']",Eleicoes,Eleicoes
119,"['deltan', 'coordenador', 'lava', 'jato', 'curitiba', 'inclui', 'discrição', 'seguir', 'trabalho', 'antecessor']",Lava Jato,Lava Jato
120,"['escolha', 'kassio', 'prestigia', 'ala', 'stf', 'firma', 'mudança', 'paradigma', 'bolsonaro']",Eleicoes,Politica Nacional
95,"['russomanno', 'pode', 'usar', 'pandemia', 'expor', 'menos', 'evitar', 'desgaste', 'eleição', 'paulo']",Eleicoes,Eleicoes
9,"['rj', 'vive', 'intervenção', 'branca', 'ser', 'governado', 'alguém', 'sobrenatural', 'diz', 'witzel', 'entrevista', 'folha']",Eleicoes,Politica Regional
42,"['repórter', 'fotográfico', 'capta', 'nova', 'rotina', 'poderes', 'brasília', 'esvaziada', 'pandemia']",Eleicoes,Outros
29,"['fux', 'assume', 'comando', 'stf', 'missão', 'equilibrar', 'poderes', 'impedir', 'derrotas', 'lava', 'jato']",Judiciario,Judiciario
104,"['metade', 'chapas', 'prefeituras', 'formada', 'apenas', 'candidatos', 'brancos']",Eleicoes,Eleicoes
68,"['núcleos', 'afro', 'partidos', 'unem', 'contra', 'negro', 'estreia', 'cota', 'eleição']",Eleicoes,Eleicoes
